Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
75,West,450,87,0.687,0,,1, 
76,North,250,87,0.683,0,,1, 
77,North,482,87,0.680,0,,0, 
78,West,322,87,0.676,0,,1, 
79,North,538,87,0.673,0,,1, 
80,North,698,87,0.670,0,,2, 
81,South,274,87,0.666,0,,1, 
82,North,554,87,0.663,0,,0, 
83,West,362,87,0.660,0,,0, 
84,South,154,87,0.656,0,,1, 
85,South,314,87,0.653,0,,1, 
86,South,834,87,0.650,0,,2, 
87,North,362,87,0.647,0,,1, 
88,North,482,87,0.643,0,,2, 
89,East,674,87,0.640,0,,2, 
90,South,378,87,0.637,0,,0, 
91,North,498,87,0.634,0,,1, 
92,West,674,87,0.631,0,,1, 
93,South,658,87,0.627,0,,1, 
94,East,730,87,0.624,0,,1, 
95,West,322,87,0.621,0,,0, 
96,West,498,87,0.618,0,,2, 
97,South,362,87,0.615,0,,0, 
98,West,378,87,0.612,0,,2, 
99,East,802,87,0.609,0,,2, 
100,South,514,87,0.606,0,,1, 
101,North,746,87,0.603,0,,0, 
102,West,370,87,0.600,0,,1, 
103,North,730,87,0.597,0,,1, 
104,East,810,87,0.594,0,,1, 
105,South,674,87,0.591,0,,1, 
106,North,402,87,0.588,0,,1, 
107,South,738,87,0.585,0,,1, 
108,North,538,87,0.582,0,,2, 
109,North,874,87,0.579,0,,2, 
110,South,938,87,0.576,0,,2, 
111,North,746,87,0.573,0,,1, 
112,East,706,87,0.570,0,,1, 
113,West,914,87,0.568,0,,1, 
114,West,1154,87,0.565,0,,2, 
115,South,826,87,0.562,0,,1, 
116,East,1134,87,0.559,0,,0, 
117,South,194,87,0.556,0,,1, 
118,West,642,87,0.554,0,,1, 
119,North,514,87,0.551,0,,2, 
120,West,450,87,0.548,0,,2, 
121,South,570,87,0.545,0,,1, 
122,West,1082,87,0.543,0,,0, 
123,North,386,87,0.540,0,,1, 
124,West,794,87,0.537,0,,2, 
125,South,338,87,0.534,0,,1, 
126,West,818,87,0.532,0,,2, 
127,West,818,87,0.529,0,,1, 
128,East,722,87,0.526,0,,1, 
129,North,658,87,0.524,0,,1, 
130,East,618,87,0.521,0,,2, 
131,East,482,87,0.519,0,,1, 
132,South,586,87,0.516,0,,1, 
