Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,-136,126,0.995,-136,0,,1, 
2,-448,126,0.990,-448,0,,1, 
3,-96,126,0.985,-96,0,,0, 
4,-136,126,0.980,-136,0,,1, 
5,-408,126,0.975,-408,0,,1, 
6,-616,126,0.970,-616,0,,0, 
7,-392,126,0.966,-392,0,,1, 
8,-168,126,0.961,-168,0,,0, 
9,-56,126,0.956,-56,0,,0, 
10,-296,126,0.951,-296,0,,2, 
11,-592,126,0.946,-592,0,,0, 
12,-536,126,0.942,-536,0,,1, 
13,-184,126,0.937,-184,0,,0, 
14,-112,126,0.932,-112,0,,1, 
15,-288,126,0.928,-288,0,,1, 
16,-376,126,0.923,-376,0,,2, 
17,-192,126,0.918,-192,0,,0, 
18,-128,126,0.914,-128,0,,0, 
19,-64,126,0.909,-64,0,,1, 
20,-576,126,0.905,-576,0,,0, 
21,-112,126,0.900,-112,0,,2, 
22,-248,126,0.896,-248,0,,1, 
23,-120,126,0.891,-120,0,,0, 
24,-352,126,0.887,-352,0,,0, 
25,-560,126,0.882,-560,0,,0, 
26,-384,126,0.878,-384,0,,0, 
27,-144,126,0.873,-144,0,,1, 
28,-184,126,0.869,-184,0,,1, 
29,8,126,0.865,8,0,,1, 
30,-640,126,0.860,-640,0,,0, 
31,-600,126,0.856,-600,0,,0, 
32,-360,126,0.852,-360,0,,1, 
33,64,126,0.848,64,0,,0, 
34,1026,126,0.843,1026,0,,1, 
35,390,126,0.839,390,0,,1, 
36,-464,126,0.835,-464,0,,1, 
37,-200,126,0.831,-200,0,,1, 
38,-248,126,0.827,-248,0,,0, 
39,-32,126,0.822,-32,0,,1, 
40,-248,126,0.818,-248,0,,2, 
41,176,126,0.814,176,0,,0, 
42,278,126,0.810,278,0,,0, 
43,-360,126,0.806,-360,0,,1, 
44,-400,126,0.802,-400,0,,0, 
45,-216,126,0.798,-216,0,,2, 
46,-48,126,0.794,-48,0,,0, 
47,-264,126,0.790,-264,0,,1, 
48,-472,126,0.786,-472,0,,1, 
49,304,126,0.782,304,0,,0, 
50,-512,126,0.778,-512,0,,0, 
51,-416,126,0.774,-416,0,,0, 
52,-104,126,0.771,-104,0,,1, 
53,-48,126,0.767,-48,0,,1, 
54,80,126,0.763,80,0,,0, 
55,136,126,0.759,136,0,,1, 
