Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1092,17961,74,0.050,17961,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子1 筒子2 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7
1093,8395,126,0.050,8395,0,,4, 
1094,16737,95,0.050,16737,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8 筒子8
1095,21424,105,0.050,21424,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1096,9457,126,0.050,9457,0,,4, 
1097,4649,126,0.050,4649,0,,4, 
1098,17217,65,0.050,17217,0,清一色,16, 筒子1 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子6 筒子8 筒子8
1099,18528,90,0.050,18528,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1100,5987,126,0.050,5987,0,,2, 
1101,7999,126,0.050,7999,0,,4, 
1102,18929,58,0.050,18929,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子1 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子8 筒子8 筒子8
1103,3721,126,0.050,3721,0,,4, 
1104,13759,126,0.050,13759,0,,4, 
1105,4455,126,0.050,4455,0,,4, 
1106,10698,47,0.050,10698,0,一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9 索子4 索子4
1107,20686,86,0.050,20686,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子8 筒子8
1108,6338,126,0.050,6338,0,,4, 
1109,16500,110,0.050,16500,0,赤ドラ1 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8 筒子9 筒子9
1110,5421,126,0.050,5421,0,,4, 
1111,2711,126,0.050,2711,0,,4, 
1112,6809,126,0.050,6809,0,,8, 
1113,2754,126,0.050,2754,0,,4, 
1114,12368,110,0.050,12368,0,混一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7 筒子8 北風 北風
1115,9889,126,0.050,9889,0,,4, 
1116,12266,47,0.050,12266,0,赤ドラ1 混一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8 東風 東風
1117,3979,126,0.050,3979,0,,1, 
1118,6830,126,0.050,6830,0,,8, 
1119,8045,126,0.050,8045,0,,4, 
1120,22064,78,0.050,22064,0,赤ドラ1 清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子7 筒子8 筒子8 筒子8 筒子9
1121,17092,126,0.050,17092,0,,8, 
1122,16523,39,0.050,16523,0,清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9
1123,20866,82,0.050,20866,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1124,12476,41,0.050,12476,0,一気通貫,16, 萬子8 萬子8 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9
1125,17743,125,0.050,17743,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子7
1126,22878,111,0.050,22878,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8 筒子8
1127,22473,51,0.050,22473,0,清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8 筒子9
1128,7616,126,0.050,7616,0,,2, 
1129,5532,126,0.050,5532,0,,8, 
1130,11833,71,0.050,11833,0,混一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 北風 北風
1131,21234,93,0.050,21234,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子7 筒子7 筒子8
1132,9743,126,0.050,9743,0,,2, 
