Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,9884,58,0.005,9884,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 筒子9 筒子9 索子7 索子7 北風 北風
2,13096,126,0.005,13096,0,,0, 
3,1776,126,0.005,1776,0,,0, 
4,1176,126,0.005,1176,0,,0, 
5,20265,83,0.005,20265,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 萬子5赤ドラ 萬子5 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
6,5416,126,0.005,5416,0,,0, 
7,1296,126,0.005,1296,0,,0, 
8,10256,126,0.005,10256,0,,0, 
9,6936,126,0.005,6936,0,,0, 
10,10216,126,0.005,10216,0,,0, 
11,19296,126,0.005,19296,0,,0, 
12,22560,90,0.005,22560,0,赤ドラ1 七対子,16, 萬子3 萬子3 筒子5 筒子5赤ドラ 索子4 索子4 索子6 索子6 索子7 索子7 索子9 索子9 北風 北風
13,30616,126,0.005,30616,0,,0, 
14,9016,126,0.005,9016,0,,0, 
15,22410,70,0.005,22410,0,赤ドラ2 七対子 五門斉,16, 萬子3 萬子3 萬子5 萬子5赤ドラ 筒子5 筒子5赤ドラ 索子4 索子4 索子6 索子6 北風 北風 發ちゃん 發ちゃん
16,16964,79,0.005,16964,0,赤ドラ1 七対子,16, 萬子3 萬子3 筒子5赤ドラ 筒子5 索子2 索子2 索子4 索子4 索子7 索子7 白ちゃん 發ちゃん 白ちゃん 發ちゃん
17,20155,85,0.005,20155,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子7 索子7 索子7 索子7 北風 北風 白ちゃん 白ちゃん
18,13816,126,0.005,13816,0,,0, 
19,18862,72,0.005,18862,0,赤ドラ1 七対子,16, 筒子5赤ドラ 筒子5 索子4 索子4 索子6 索子6 索子7 索子7 索子8 索子8 北風 北風 白ちゃん 白ちゃん
20,16576,126,0.005,16576,0,,0, 
21,3416,126,0.005,3416,0,,0, 
22,18616,126,0.005,18616,0,,0, 
23,14616,126,0.005,14616,0,,0, 
24,25200,95,0.005,25200,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 發ちゃん 發ちゃん
25,25035,105,0.005,25035,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 筒子2 筒子2 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風 發ちゃん 白ちゃん 發ちゃん 白ちゃん
26,16256,94,0.005,16256,0,七対子 五門斉,16, 萬子2 萬子2 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 發ちゃん 白ちゃん 白ちゃん 發ちゃん
27,16510,80,0.005,16510,0,七対子,16, 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子6 索子6 索子6 索子6 白ちゃん 白ちゃん 發ちゃん 發ちゃん
28,24624,91,0.005,24624,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 筒子5赤ドラ 筒子5 索子3 索子3 索子4 索子4 索子7 索子7 北風 北風 發ちゃん 發ちゃん
29,17376,126,0.005,17376,0,,0, 
30,496,126,0.005,496,0,,0, 
31,10256,126,0.005,10256,0,,0, 
32,25480,90,0.005,25480,0,七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 筒子1 筒子1 筒子5 筒子5 索子4 索子4 北風 北風 白ちゃん 白ちゃん
33,14136,126,0.005,14136,0,,0, 
