Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
571,East,289,110,0.057,0,,345,0,0,萬子2 萬子4 萬子4 萬子6 萬子6 萬子8 筒子8 索子3 索子6 索子7 索子7 索子7 北風
572,South,497,110,0.057,0,,555,0,0,萬子2 萬子3 副露萬子5 副露萬子5赤ドラ 副露萬子5 萬子7 索子4 索子5 索子5 索子7 白ちゃん 中ちゃん 發ちゃん
573,North,229,110,0.057,0,,285,0,0,萬子2 萬子4 筒子1 副露筒子9 副露筒子9 副露筒子9 索子1 索子4 索子5 索子5 索子8 北風 中ちゃん
574,North,349,110,0.056,0,,405,0,0,萬子5 萬子6 萬子7 筒子6 筒子8 筒子9 索子1 索子3 西風 中ちゃん 發ちゃん 發ちゃん 發ちゃん
575,South,842,110,0.056,0,,900,0,0,萬子7 筒子4 筒子4 筒子8 副露索子2 副露索子2 副露索子2 副露索子3 副露索子3 副露索子3 索子6 南風 南風
576,North,497,111,0.056,0,,555,0,0,筒子3 筒子4 筒子4 索子1 索子4 索子5 索子6 索子7 副露索子8 副露索子8 副露索子8 白ちゃん 中ちゃん
577,North,947,110,0.055,0,,1005,0,0,萬子3 副露萬子5 副露萬子5 副露萬子5 萬子8 筒子7 筒子8 副露索子9 副露索子9 副露索子9 東風 東風 西風
578,North,705,110,0.055,0,,765,0,0,萬子4 副露萬子7 副露萬子7 副露萬子7 萬子8 副露筒子3 副露筒子3 副露筒子3 筒子4 筒子6 副露索子7 副露索子7 副露索子7
579,East,647,110,0.055,0,,705,0,0,萬子6 副露萬子7 副露萬子7 副露萬子7 筒子2 筒子3 筒子3 筒子4 筒子4 索子2 索子6 白ちゃん 中ちゃん
580,South,1837,110,0.055,0,,1095,0,1,萬子1 索子2 索子2 索子6 副露索子7 副露索子7 副露索子7 索子7 索子8 北風 副露發ちゃん 副露發ちゃん 副露發ちゃん
581,North,1247,110,0.054,0,,1305,0,0,萬子3 副露萬子8 副露萬子8 副露萬子8 副露筒子6 副露筒子6 副露筒子6 筒子6 索子8 索子8 索子8 南風 南風
582,North,287,110,0.054,0,,345,0,0,萬子6 萬子8 筒子4 筒子5 索子2 副露索子5 副露索子5 副露索子5赤ドラ 索子7 索子9 南風 南風 東風
583,North,677,111,0.054,0,,735,0,0,萬子1 副露萬子4 副露萬子4 副露萬子4 副露筒子8 副露筒子8 副露筒子8 筒子9 索子6 索子7 索子7 索子7 索子8
584,North,767,110,0.054,0,,825,0,0,萬子6 副露萬子7 副露萬子7 副露萬子7 筒子6 筒子7 筒子8 筒子9 索子7 索子7 副露索子8 副露索子8 副露索子8
585,East,572,110,0.053,0,,630,0,0,萬子3 筒子2 副露筒子3 副露筒子3 副露筒子3 筒子4 筒子8 索子3 索子3 副露索子6 索子6 副露索子6 中ちゃん
586,South,439,110,0.053,0,,495,0,0,副露萬子4 副露萬子4 副露萬子4 萬子8 萬子8 筒子1 筒子4 筒子4 筒子8 索子3 索子3 索子7 索子8
587,West,439,110,0.053,0,,495,0,0,萬子8 筒子4 筒子7 副露索子1 副露索子1 副露索子1 索子4 索子5赤ドラ 索子5 索子7 索子8 索子8 南風
588,East,872,110,0.052,0,,930,0,0,萬子3 萬子6 萬子7 萬子7 萬子7 萬子8 萬子9 副露筒子5 副露筒子5 副露筒子5 筒子8 筒子8 索子8
589,West,1337,110,0.052,0,,1395,0,0,萬子4 萬子6 筒子7 副露筒子8 副露筒子8 副露筒子8 副露索子3 副露索子3 副露索子3 索子6 索子7 索子8 白ちゃん
590,South,287,111,0.052,0,,345,0,0,萬子2 萬子6 萬子6 萬子8 萬子8 筒子9 索子4 索子7 索子8 西風 副露中ちゃん 副露中ちゃん 中ちゃん
