Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,North,206,107,0.995,0,,260,0,0,
2,East,86,107,0.990,0,,140,0,0,
3,East,66,107,0.985,0,,120,0,0,
4,East,336,107,0.980,0,,390,0,0,
5,North,136,107,0.975,0,,190,0,0,
6,South,96,107,0.970,0,,150,0,0,
7,South,106,107,0.966,0,,160,0,0,
8,West,196,107,0.961,0,,250,0,0,
9,East,36,107,0.956,0,,90,0,0,
10,North,146,107,0.951,0,,200,0,0,
11,West,176,107,0.946,0,,230,0,0,
12,East,74,108,0.942,0,,130,0,0,
13,West,154,108,0.937,0,,210,0,0,
14,East,76,107,0.932,0,,130,0,0,
15,North,116,107,0.928,0,,170,0,0,
16,North,-4,107,0.923,0,,50,0,0,
17,East,166,107,0.918,0,,220,0,0,
18,West,26,107,0.914,0,,80,0,0,
19,West,76,107,0.909,0,,130,0,0,
20,East,164,107,0.905,0,,220,0,0,
21,North,376,107,0.900,0,,430,0,0,
22,South,86,107,0.896,0,,140,0,0,
23,West,56,107,0.891,0,,110,0,0,
24,North,-54,107,0.887,0,,0,0,0,
25,East,6,107,0.882,0,,60,0,0,
26,West,186,107,0.878,0,,240,0,0,
27,East,32,107,0.873,0,,90,0,0,
28,East,204,108,0.869,0,,260,0,0,
29,North,46,107,0.865,0,,100,0,0,
30,North,214,108,0.860,0,,270,0,0,
31,North,46,107,0.856,0,,100,0,0,
32,East,274,107,0.852,0,,330,0,0,
33,West,206,107,0.848,0,,260,0,0,
34,West,96,107,0.843,0,,150,0,0,
35,South,234,108,0.839,0,,290,0,0,
36,North,56,107,0.835,0,,110,0,0,
37,North,184,107,0.831,0,,240,0,0,
38,South,246,107,0.827,0,,300,0,0,
39,North,176,107,0.822,0,,230,0,0,
40,North,-14,107,0.818,0,,40,0,0,
41,North,336,107,0.814,0,,390,0,0,
42,North,116,107,0.810,0,,170,0,0,
43,South,146,107,0.806,0,,200,0,0,
44,West,116,107,0.802,0,,170,0,0,
45,North,334,107,0.798,0,,390,0,0,
46,North,226,107,0.794,0,,280,0,0,
47,West,444,107,0.790,0,,500,0,0,
48,South,196,107,0.786,0,,250,0,0,
49,North,254,107,0.782,0,,310,0,0,
50,South,-24,107,0.778,0,,30,0,0,
51,East,394,108,0.774,0,,450,0,0,
52,North,116,107,0.771,0,,170,0,0,
53,West,76,107,0.767,0,,130,0,0,
54,West,176,107,0.763,0,,230,0,0,
55,South,236,107,0.759,0,,290,0,0,
56,South,166,107,0.755,0,,220,0,0,
57,East,16,107,0.751,0,,70,0,0,
58,East,236,107,0.748,0,,290,0,0,
59,North,56,107,0.744,0,,110,0,0,
60,West,-54,107,0.740,0,,0,0,0,
61,West,414,107,0.737,0,,470,0,0,
62,East,96,107,0.733,0,,150,0,0,
63,East,294,108,0.729,0,,350,0,0,
64,North,186,107,0.726,0,,240,0,0,
65,North,226,107,0.722,0,,280,0,0,
66,North,124,107,0.718,0,,180,0,0,
67,North,244,107,0.715,0,,300,0,0,
68,East,56,107,0.711,0,,110,0,0,
69,South,214,107,0.708,0,,270,0,0,
70,North,234,107,0.704,0,,290,0,0,
71,South,256,107,0.701,0,,310,0,0,
72,South,116,107,0.697,0,,170,0,0,
73,North,284,107,0.694,0,,340,0,0,
74,North,166,107,0.690,0,,220,0,0,
75,South,156,107,0.687,0,,210,0,0,
76,North,216,107,0.683,0,,270,0,0,
77,West,16,107,0.680,0,,70,0,0,
78,North,154,108,0.676,0,,210,0,0,
79,North,324,107,0.673,0,,380,0,0,
80,North,234,108,0.670,0,,290,0,0,
81,East,224,107,0.666,0,,280,0,0,
82,East,276,107,0.663,0,,330,0,0,
83,North,-4,107,0.660,0,,50,0,0,
84,South,522,108,0.656,0,,580,0,0,
85,North,176,107,0.653,0,,230,0,0,
86,North,156,107,0.650,0,,210,0,0,
87,West,136,107,0.647,0,,190,0,0,
88,West,166,107,0.643,0,,220,0,0,
89,East,106,107,0.640,0,,160,0,0,
90,South,184,107,0.637,0,,240,0,0,
91,North,66,107,0.634,0,,120,0,0,
92,East,296,107,0.631,0,,350,0,0,
93,North,424,107,0.627,0,,480,0,0,
94,North,264,107,0.624,0,,320,0,0,
95,West,344,107,0.621,0,,400,0,0,
96,North,164,108,0.618,0,,220,0,0,
97,South,454,107,0.615,0,,510,0,0,
98,West,116,107,0.612,0,,170,0,0,
99,West,264,108,0.609,0,,320,0,0,
100,West,6,107,0.606,0,,60,0,0,
101,East,234,107,0.603,0,,290,0,0,
102,South,174,107,0.600,0,,230,0,0,
103,East,134,108,0.597,0,,190,0,0,
104,South,302,108,0.594,0,,360,0,0,
105,East,146,107,0.591,0,,200,0,0,
106,East,226,107,0.588,0,,280,0,0,
107,South,56,107,0.585,0,,110,0,0,
108,East,34,107,0.582,0,,90,0,0,
109,North,204,108,0.579,0,,260,0,0,
110,West,56,107,0.576,0,,110,0,0,
111,East,114,107,0.573,0,,170,0,0,
112,South,442,107,0.570,0,,500,0,0,
113,South,194,108,0.568,0,,250,0,0,
114,South,336,107,0.565,0,,390,0,0,
115,East,216,107,0.562,0,,270,0,0,
116,North,176,107,0.559,0,,230,0,0,
117,East,224,107,0.556,0,,280,0,0,
118,West,404,108,0.554,0,,460,0,0,
119,West,294,107,0.551,0,,350,0,0,
120,South,294,107,0.548,0,,350,0,0,
121,East,206,107,0.545,0,,260,0,0,
122,West,86,107,0.543,0,,140,0,0,
123,West,224,107,0.540,0,,280,0,0,
124,West,336,107,0.537,0,,390,0,0,
125,North,454,107,0.534,0,,510,0,0,
126,South,86,107,0.532,0,,140,0,0,
127,North,214,108,0.529,0,,270,0,0,
128,West,106,107,0.526,0,,160,0,0,
129,South,26,107,0.524,0,,80,0,0,
130,West,306,107,0.521,0,,360,0,0,
131,East,374,108,0.519,0,,430,0,0,
132,North,184,107,0.516,0,,240,0,0,
133,East,304,107,0.513,0,,360,0,0,
134,South,214,107,0.511,0,,270,0,0,
135,South,216,107,0.508,0,,270,0,0,
136,North,404,107,0.506,0,,460,0,0,
137,East,224,107,0.503,0,,280,0,0,
138,South,294,107,0.501,0,,350,0,0,
139,West,582,108,0.498,0,,640,0,0,
140,North,264,107,0.496,0,,320,0,0,
141,South,234,107,0.493,0,,290,0,0,
142,West,26,107,0.491,0,,80,0,0,
143,West,246,107,0.488,0,,300,0,0,
144,North,226,107,0.486,0,,280,0,0,
145,West,146,107,0.483,0,,200,0,0,
146,South,334,108,0.481,0,,390,0,0,
147,South,86,107,0.479,0,,140,0,0,
148,East,176,107,0.476,0,,230,0,0,
149,West,474,107,0.474,0,,530,0,0,
150,East,322,108,0.471,0,,380,0,0,
151,North,314,107,0.469,0,,370,0,0,
152,South,294,107,0.467,0,,350,0,0,
153,South,204,107,0.464,0,,260,0,0,
154,East,662,107,0.462,0,,720,0,0,
155,East,376,107,0.460,0,,430,0,0,
156,East,482,108,0.458,0,,540,0,0,
157,East,594,107,0.455,0,,650,0,0,
158,West,196,107,0.453,0,,250,0,0,
159,North,264,107,0.451,0,,320,0,0,
160,West,444,107,0.448,0,,500,0,0,
161,West,86,107,0.446,0,,140,0,0,
162,West,344,107,0.444,0,,400,0,0,
163,East,266,107,0.442,0,,320,0,0,
164,East,366,107,0.440,0,,420,0,0,
165,East,224,107,0.437,0,,280,0,0,
166,East,326,107,0.435,0,,380,0,0,
167,South,116,107,0.433,0,,170,0,0,
168,South,274,107,0.431,0,,330,0,0,
169,West,154,107,0.429,0,,210,0,0,
170,South,236,107,0.427,0,,290,0,0,
171,South,584,108,0.424,0,,640,0,0,
172,North,216,107,0.422,0,,270,0,0,
173,West,304,107,0.420,0,,360,0,0,
174,West,246,107,0.418,0,,300,0,0,
175,East,116,107,0.416,0,,170,0,0,
176,East,26,107,0.414,0,,80,0,0,
177,South,94,108,0.412,0,,150,0,0,
178,North,86,107,0.410,0,,140,0,0,
179,East,344,107,0.408,0,,400,0,0,
180,North,274,108,0.406,0,,330,0,0,
181,South,106,107,0.404,0,,160,0,0,
182,South,424,107,0.402,0,,480,0,0,
183,South,206,107,0.400,0,,260,0,0,
184,South,196,107,0.398,0,,250,0,0,
185,West,256,107,0.396,0,,310,0,0,
186,West,164,107,0.394,0,,220,0,0,
187,West,334,108,0.392,0,,390,0,0,
188,South,394,107,0.390,0,,450,0,0,
189,West,254,107,0.388,0,,310,0,0,
190,West,394,107,0.386,0,,450,0,0,
191,South,374,107,0.384,0,,430,0,0,
192,North,406,107,0.382,0,,460,0,0,
193,South,294,107,0.380,0,,350,0,0,
194,North,314,107,0.378,0,,370,0,0,
195,South,364,107,0.376,0,,420,0,0,
196,North,844,107,0.374,0,,900,0,0,
197,North,186,107,0.373,0,,240,0,0,
198,West,106,107,0.371,0,,160,0,0,
199,North,224,107,0.369,0,,280,0,0,
200,West,839,107,0.367,0,,520,0,1,
201,South,96,107,0.365,0,,150,0,0,
202,East,414,107,0.363,0,,470,0,0,
203,South,76,107,0.361,0,,130,0,0,
204,North,284,107,0.360,0,,340,0,0,
205,South,184,107,0.358,0,,240,0,0,
206,South,196,107,0.356,0,,250,0,0,
207,North,324,108,0.354,0,,380,0,0,
208,West,324,107,0.353,0,,380,0,0,
209,North,266,107,0.351,0,,320,0,0,
210,North,214,108,0.349,0,,270,0,0,
211,West,284,107,0.347,0,,340,0,0,
212,West,652,108,0.346,0,,710,0,0,
213,East,374,107,0.344,0,,430,0,0,
214,East,274,107,0.342,0,,330,0,0,
215,East,302,107,0.340,0,,360,0,0,
216,East,252,108,0.339,0,,310,0,0,
217,North,264,107,0.337,0,,320,0,0,
218,North,304,108,0.335,0,,360,0,0,
219,North,224,108,0.334,0,,280,0,0,
220,East,284,107,0.332,0,,340,0,0,
221,South,624,107,0.330,0,,680,0,0,
222,West,166,107,0.329,0,,220,0,0,
223,East,344,107,0.327,0,,400,0,0,
224,East,314,108,0.325,0,,370,0,0,
225,North,314,107,0.324,0,,370,0,0,
226,West,444,107,0.322,0,,500,0,0,
227,South,334,107,0.321,0,,390,0,0,
228,West,166,107,0.319,0,,220,0,0,
229,East,46,107,0.317,0,,100,0,0,
230,South,156,107,0.316,0,,210,0,0,
231,North,542,108,0.314,0,,600,0,0,
232,North,464,107,0.313,0,,520,0,0,
233,South,304,107,0.311,0,,360,0,0,
234,South,364,107,0.309,0,,420,0,0,
235,East,662,107,0.308,0,,720,0,0,
236,East,386,107,0.306,0,,440,0,0,
237,North,276,107,0.305,0,,330,0,0,
238,West,404,107,0.303,0,,460,0,0,
239,West,156,107,0.302,0,,210,0,0,
240,East,462,108,0.300,0,,520,0,0,
241,North,194,107,0.299,0,,250,0,0,
242,North,216,107,0.297,0,,270,0,0,
243,North,242,108,0.296,0,,300,0,0,
244,North,254,107,0.294,0,,310,0,0,
245,East,256,107,0.293,0,,310,0,0,
246,West,366,107,0.291,0,,420,0,0,
247,East,14,107,0.290,0,,70,0,0,
248,North,344,107,0.288,0,,400,0,0,
249,West,472,107,0.287,0,,530,0,0,
250,West,764,107,0.286,0,,820,0,0,
251,North,316,107,0.284,0,,370,0,0,
252,North,204,108,0.283,0,,260,0,0,
253,West,116,107,0.281,0,,170,0,0,
254,East,144,108,0.280,0,,200,0,0,
255,West,344,107,0.279,0,,400,0,0,
256,East,454,108,0.277,0,,510,0,0,
257,East,214,108,0.276,0,,270,0,0,
258,South,46,107,0.274,0,,100,0,0,
259,South,384,107,0.273,0,,440,0,0,
260,East,336,107,0.272,0,,390,0,0,
261,East,234,107,0.270,0,,290,0,0,
262,East,236,107,0.269,0,,290,0,0,
263,North,226,107,0.268,0,,280,0,0,
264,West,284,108,0.266,0,,340,0,0,
265,North,184,107,0.265,0,,240,0,0,
266,North,434,107,0.264,0,,490,0,0,
267,East,234,108,0.262,0,,290,0,0,
