Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
138,West,66,107,0.035,0,,120,0,0,
139,West,214,107,0.035,0,,270,0,0,
140,South,214,107,0.035,0,,270,0,0,
141,North,266,107,0.035,0,,320,0,0,
142,North,372,107,0.035,0,,430,0,0,
143,South,174,108,0.035,0,,230,0,0,
144,East,276,107,0.035,0,,330,0,0,
145,West,114,107,0.035,0,,170,0,0,
146,East,184,107,0.035,0,,240,0,0,
147,South,-44,107,0.035,0,,10,0,0,
148,West,254,107,0.035,0,,310,0,0,
149,South,344,107,0.035,0,,400,0,0,
150,North,224,107,0.035,0,,280,0,0,
151,West,362,108,0.035,0,,420,0,0,
152,East,184,108,0.035,0,,240,0,0,
153,East,282,108,0.035,0,,340,0,0,
154,South,144,108,0.035,0,,200,0,0,
155,South,452,107,0.035,0,,510,0,0,
156,East,214,107,0.035,0,,270,0,0,
157,East,434,107,0.035,0,,490,0,0,
158,West,302,107,0.035,0,,360,0,0,
159,South,214,107,0.035,0,,270,0,0,
160,East,294,107,0.035,0,,350,0,0,
161,North,-14,107,0.035,0,,40,0,0,
162,West,184,108,0.035,0,,240,0,0,
163,West,224,107,0.035,0,,280,0,0,
164,South,266,107,0.035,0,,320,0,0,
165,West,294,107,0.035,0,,350,0,0,
166,North,104,107,0.035,0,,160,0,0,
167,North,452,108,0.035,0,,510,0,0,
168,North,154,108,0.035,0,,210,0,0,
169,East,254,107,0.035,0,,310,0,0,
170,West,362,108,0.035,0,,420,0,0,
171,East,344,107,0.035,0,,400,0,0,
172,South,372,107,0.035,0,,430,0,0,
173,South,204,107,0.035,0,,260,0,0,
174,North,96,107,0.035,0,,150,0,0,
175,North,174,108,0.035,0,,230,0,0,
176,East,114,107,0.035,0,,170,0,0,
177,North,264,107,0.035,0,,320,0,0,
178,East,422,107,0.035,0,,480,0,0,
179,East,126,107,0.035,0,,180,0,0,
180,South,124,107,0.035,0,,180,0,0,
181,North,184,107,0.035,0,,240,0,0,
182,South,334,107,0.035,0,,390,0,0,
183,West,124,107,0.035,0,,180,0,0,
184,East,116,107,0.035,0,,170,0,0,
185,South,74,108,0.035,0,,130,0,0,
186,East,294,107,0.035,0,,350,0,0,
187,East,74,108,0.035,0,,130,0,0,
188,South,1242,107,0.035,0,,500,0,1,
189,East,224,107,0.035,0,,280,0,0,
190,South,384,108,0.035,0,,440,0,0,
191,South,96,107,0.035,0,,150,0,0,
192,West,116,107,0.035,0,,170,0,0,
193,East,26,107,0.035,0,,80,0,0,
194,North,184,107,0.035,0,,240,0,0,
195,South,362,108,0.035,0,,420,0,0,
196,West,106,107,0.035,0,,160,0,0,
197,North,462,107,0.035,0,,520,0,0,
198,East,494,108,0.035,0,,550,0,0,
199,West,114,107,0.035,0,,170,0,0,
200,West,1482,107,0.035,0,,540,0,2,
201,West,572,108,0.035,0,,630,0,0,
202,East,226,107,0.035,0,,280,0,0,
203,East,234,108,0.035,0,,290,0,0,
204,West,314,107,0.035,0,,370,0,0,
205,North,264,107,0.035,0,,320,0,0,
206,West,454,107,0.035,0,,510,0,0,
207,East,314,107,0.035,0,,370,0,0,
208,West,214,108,0.035,0,,270,0,0,
209,West,54,108,0.035,0,,110,0,0,
210,East,154,108,0.035,0,,210,0,0,
211,West,164,108,0.035,0,,220,0,0,
212,East,274,107,0.035,0,,330,0,0,
213,East,94,107,0.035,0,,150,0,0,
214,West,364,107,0.035,0,,420,0,0,
215,South,344,107,0.035,0,,400,0,0,
216,South,302,107,0.035,0,,360,0,0,
217,North,72,107,0.035,0,,130,0,0,
218,South,174,107,0.035,0,,230,0,0,
219,West,302,108,0.035,0,,360,0,0,
220,West,414,107,0.035,0,,470,0,0,
221,West,174,107,0.035,0,,230,0,0,
222,South,244,107,0.035,0,,300,0,0,
223,East,264,108,0.035,0,,320,0,0,
224,East,-54,107,0.035,0,,0,0,0,
225,North,156,107,0.035,0,,210,0,0,
226,East,394,107,0.035,0,,450,0,0,
227,North,124,107,0.035,0,,180,0,0,
228,East,184,107,0.035,0,,240,0,0,
229,North,292,108,0.035,0,,350,0,0,
230,North,204,107,0.035,0,,260,0,0,
231,West,384,107,0.035,0,,440,0,0,
232,East,384,107,0.035,0,,440,0,0,
233,West,-34,107,0.035,0,,20,0,0,
234,East,194,107,0.035,0,,250,0,0,
235,East,314,107,0.035,0,,370,0,0,
236,South,304,107,0.035,0,,360,0,0,
237,North,234,107,0.035,0,,290,0,0,
238,South,-14,107,0.035,0,,40,0,0,
239,East,582,107,0.035,0,,640,0,0,
240,West,154,108,0.035,0,,210,0,0,
241,East,552,107,0.035,0,,610,0,0,
242,West,854,107,0.035,0,,910,0,0,
243,West,194,107,0.035,0,,250,0,0,
244,West,164,107,0.035,0,,220,0,0,
245,West,46,107,0.035,0,,100,0,0,
246,East,266,107,0.035,0,,320,0,0,
247,North,46,107,0.035,0,,100,0,0,
248,West,14,107,0.035,0,,70,0,0,
249,West,254,107,0.035,0,,310,0,0,
250,West,494,107,0.035,0,,550,0,0,
251,North,264,107,0.035,0,,320,0,0,
252,West,26,107,0.035,0,,80,0,0,
253,East,274,107,0.035,0,,330,0,0,
254,South,-4,107,0.035,0,,50,0,0,
255,East,264,107,0.035,0,,320,0,0,
256,East,214,107,0.035,0,,270,0,0,
257,East,234,108,0.035,0,,290,0,0,
258,North,162,107,0.035,0,,220,0,0,
259,South,76,107,0.035,0,,130,0,0,
260,South,302,108,0.035,0,,360,0,0,
261,North,186,107,0.035,0,,240,0,0,
262,West,494,107,0.035,0,,550,0,0,
263,North,286,107,0.035,0,,340,0,0,
264,East,184,108,0.035,0,,240,0,0,
265,North,114,108,0.035,0,,170,0,0,
266,North,224,107,0.035,0,,280,0,0,
267,South,26,107,0.035,0,,80,0,0,
268,South,164,107,0.035,0,,220,0,0,
269,West,274,107,0.035,0,,330,0,0,
270,West,126,107,0.035,0,,180,0,0,
271,West,214,108,0.035,0,,270,0,0,
272,North,154,107,0.035,0,,210,0,0,
273,North,314,107,0.035,0,,370,0,0,
274,West,364,107,0.035,0,,420,0,0,
275,North,76,107,0.035,0,,130,0,0,
276,East,4,108,0.035,0,,60,0,0,
277,East,224,107,0.035,0,,280,0,0,
278,West,184,107,0.035,0,,240,0,0,
279,West,354,108,0.035,0,,410,0,0,
280,East,412,107,0.035,0,,470,0,0,
281,North,324,108,0.035,0,,380,0,0,
282,South,64,107,0.035,0,,120,0,0,
283,West,206,107,0.035,0,,260,0,0,
284,West,140,108,0.035,0,,200,0,0,
285,South,484,107,0.035,0,,540,0,0,
286,South,186,107,0.035,0,,240,0,0,
287,South,364,108,0.035,0,,420,0,0,
288,East,136,107,0.035,0,,190,0,0,
289,North,214,108,0.035,0,,270,0,0,
290,West,86,107,0.035,0,,140,0,0,
291,South,274,108,0.035,0,,330,0,0,
292,West,254,107,0.035,0,,310,0,0,
293,South,214,107,0.035,0,,270,0,0,
294,West,384,107,0.035,0,,440,0,0,
295,North,472,107,0.035,0,,530,0,0,
296,West,286,107,0.035,0,,340,0,0,
297,South,732,108,0.035,0,,790,0,0,
298,West,434,107,0.035,0,,490,0,0,
299,South,214,107,0.035,0,,270,0,0,
300,West,224,108,0.035,0,,280,0,0,
301,North,94,107,0.035,0,,150,0,0,
302,East,182,107,0.035,0,,240,0,0,
303,West,246,107,0.035,0,,300,0,0,
304,North,146,107,0.035,0,,200,0,0,
305,West,384,107,0.035,0,,440,0,0,
306,East,234,107,0.035,0,,290,0,0,
307,East,434,107,0.035,0,,490,0,0,
308,West,254,107,0.035,0,,310,0,0,
309,North,194,107,0.035,0,,250,0,0,
310,West,294,107,0.035,0,,350,0,0,
311,South,144,107,0.035,0,,200,0,0,
312,West,532,108,0.035,0,,590,0,0,
313,North,56,107,0.035,0,,110,0,0,
314,South,314,107,0.035,0,,370,0,0,
315,North,146,107,0.035,0,,200,0,0,
316,East,16,107,0.035,0,,70,0,0,
317,South,184,107,0.035,0,,240,0,0,
318,East,56,107,0.035,0,,110,0,0,
319,East,46,107,0.035,0,,100,0,0,
320,West,166,107,0.035,0,,220,0,0,
321,South,424,107,0.035,0,,480,0,0,
322,West,294,107,0.035,0,,350,0,0,
323,East,266,107,0.035,0,,320,0,0,
324,West,244,108,0.035,0,,300,0,0,
325,South,246,107,0.035,0,,300,0,0,
326,East,86,107,0.035,0,,140,0,0,
327,West,234,107,0.035,0,,290,0,0,
328,West,96,107,0.035,0,,150,0,0,
329,North,322,108,0.035,0,,380,0,0,
330,West,56,107,0.035,0,,110,0,0,
331,West,116,107,0.035,0,,170,0,0,
332,East,344,107,0.035,0,,400,0,0,
333,East,84,107,0.035,0,,140,0,0,
334,South,484,107,0.035,0,,540,0,0,
335,West,442,107,0.035,0,,500,0,0,
336,North,94,108,0.035,0,,150,0,0,
337,East,144,107,0.035,0,,200,0,0,
338,West,74,107,0.035,0,,130,0,0,
339,West,422,107,0.035,0,,480,0,0,
340,North,-4,107,0.035,0,,50,0,0,
341,South,224,107,0.035,0,,280,0,0,
342,South,554,107,0.035,0,,610,0,0,
343,North,452,108,0.035,0,,510,0,0,
344,South,234,107,0.035,0,,290,0,0,
345,West,244,107,0.035,0,,300,0,0,
346,North,434,107,0.035,0,,490,0,0,
347,North,284,107,0.035,0,,340,0,0,
348,South,164,107,0.035,0,,220,0,0,
349,East,44,108,0.035,0,,100,0,0,
350,West,294,107,0.035,0,,350,0,0,
351,East,246,107,0.035,0,,300,0,0,
352,North,392,107,0.035,0,,450,0,0,
353,West,294,107,0.035,0,,350,0,0,
354,North,264,107,0.035,0,,320,0,0,
355,North,-14,107,0.035,0,,40,0,0,
356,West,256,107,0.035,0,,310,0,0,
357,East,362,107,0.035,0,,420,0,0,
358,North,6,107,0.035,0,,60,0,0,
359,West,392,107,0.035,0,,450,0,0,
360,North,414,107,0.035,0,,470,0,0,
361,North,192,107,0.035,0,,250,0,0,
362,East,344,107,0.035,0,,400,0,0,
363,North,34,107,0.035,0,,90,0,0,
364,North,104,107,0.035,0,,160,0,0,
365,West,582,107,0.035,0,,640,0,0,
366,East,254,107,0.035,0,,310,0,0,
367,North,694,107,0.035,0,,750,0,0,
368,South,194,107,0.035,0,,250,0,0,
369,North,504,107,0.035,0,,560,0,0,
370,South,174,107,0.035,0,,230,0,0,
371,North,324,107,0.035,0,,380,0,0,
372,West,244,107,0.035,0,,300,0,0,
373,North,232,108,0.035,0,,290,0,0,
374,North,64,107,0.035,0,,120,0,0,
375,East,36,107,0.035,0,,90,0,0,
376,West,46,107,0.035,0,,100,0,0,
377,South,144,107,0.035,0,,200,0,0,
378,South,216,107,0.035,0,,270,0,0,
379,East,334,108,0.035,0,,390,0,0,
380,West,6,107,0.035,0,,60,0,0,
381,East,164,108,0.035,0,,220,0,0,
382,East,176,107,0.035,0,,230,0,0,
