Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,356,126,0.995,356,0,,1, 
2,708,126,0.990,708,0,,1, 
3,244,126,0.985,244,0,,1, 
4,380,126,0.980,380,0,,0, 
5,324,126,0.975,324,0,,1, 
6,436,126,0.970,436,0,,1, 
7,644,126,0.966,644,0,,1, 
8,620,126,0.961,620,0,,0, 
9,372,126,0.956,372,0,,1, 
10,324,126,0.951,324,0,,1, 
11,148,126,0.946,148,0,,0, 
12,276,126,0.942,276,0,,2, 
13,548,126,0.937,548,0,,1, 
14,268,126,0.932,268,0,,0, 
15,428,126,0.928,428,0,,1, 
16,396,126,0.923,396,0,,1, 
17,748,126,0.918,748,0,,0, 
18,180,126,0.914,180,0,,0, 
19,444,126,0.909,444,0,,0, 
20,388,126,0.905,388,0,,1, 
21,716,126,0.900,716,0,,0, 
22,884,126,0.896,884,0,,0, 
23,356,126,0.891,356,0,,1, 
24,540,126,0.887,540,0,,1, 
25,676,126,0.882,676,0,,0, 
26,452,126,0.878,452,0,,2, 
27,700,126,0.873,700,0,,0, 
28,212,126,0.869,212,0,,1, 
29,420,126,0.865,420,0,,0, 
30,556,126,0.860,556,0,,1, 
31,348,126,0.856,348,0,,1, 
32,604,126,0.852,604,0,,0, 
33,484,126,0.848,484,0,,1, 
34,548,126,0.843,548,0,,0, 
35,708,126,0.839,708,0,,0, 
36,516,126,0.835,516,0,,1, 
37,876,126,0.831,876,0,,1, 
38,556,126,0.827,556,0,,0, 
39,372,126,0.822,372,0,,1, 
40,524,126,0.818,524,0,,1, 
41,548,126,0.814,548,0,,2, 
42,516,126,0.810,516,0,,1, 
43,1004,126,0.806,1004,0,,2, 
44,780,126,0.802,780,0,,1, 
45,572,126,0.798,572,0,,1, 
46,340,126,0.794,340,0,,0, 
47,676,126,0.790,676,0,,1, 
48,428,126,0.786,428,0,,2, 
49,396,126,0.782,396,0,,1, 
50,508,126,0.778,508,0,,1, 
51,340,126,0.774,340,0,,1, 
52,764,126,0.771,764,0,,4, 
53,676,126,0.767,676,0,,0, 
54,508,126,0.763,508,0,,1, 
55,812,126,0.759,812,0,,1, 
56,276,126,0.755,276,0,,1, 
57,588,126,0.751,588,0,,1, 
58,372,126,0.748,372,0,,0, 
59,268,126,0.744,268,0,,0, 
60,484,126,0.740,484,0,,0, 
61,836,126,0.737,836,0,,1, 
62,772,126,0.733,772,0,,0, 
63,636,126,0.729,636,0,,1, 
64,684,126,0.726,684,0,,1, 
65,428,126,0.722,428,0,,1, 
66,1052,126,0.718,1052,0,,1, 
67,332,126,0.715,332,0,,0, 
68,1084,126,0.711,1084,0,,4, 
69,948,126,0.708,948,0,,2, 
70,1164,126,0.704,1164,0,,1, 
71,1167,126,0.701,1167,0,,1, 
72,724,126,0.697,724,0,,1, 
73,764,126,0.694,764,0,,1, 
74,484,126,0.690,484,0,,2, 
75,828,126,0.687,828,0,,1, 
76,1020,126,0.683,1020,0,,2, 
77,588,126,0.680,588,0,,4, 
78,924,126,0.676,924,0,,2, 
79,540,126,0.673,540,0,,0, 
80,620,126,0.670,620,0,,1, 
81,484,126,0.666,484,0,,1, 
82,788,126,0.663,788,0,,1, 
83,700,126,0.660,700,0,,1, 
84,916,126,0.656,916,0,,2, 
85,1116,126,0.653,1116,0,,1, 
