Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1,27927,97,0.005,27927,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9 筒子9
2,3272,126,0.005,3272,0,,2, 
3,17930,126,0.005,17930,0,,8, 
4,23407,49,0.005,23407,0,清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
5,25360,50,0.005,25360,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 筒子9
6,17191,93,0.005,17191,0,清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子6 筒子6 筒子6 筒子7 筒子8 筒子9
7,25094,92,0.005,25094,0,清一色 一気通貫,16, 筒子1 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子8 筒子9
8,23747,75,0.005,23747,0,混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9 南風 南風
9,19737,41,0.005,19737,0,赤ドラ1 混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子8 筒子9 發ちゃん 發ちゃん
10,21889,79,0.005,21889,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
11,26070,90,0.005,26070,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
12,25551,71,0.005,25551,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 筒子9 筒子9
13,17020,126,0.005,17020,0,,8, 
14,11698,126,0.005,11698,0,,8, 
15,22428,74,0.005,22428,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子8 筒子9
16,21000,94,0.005,21000,0,混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9 南風 南風
17,24337,91,0.005,24337,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子9
18,23809,59,0.005,23809,0,清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9
19,25682,110,0.005,25682,0,清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9
20,4764,126,0.005,4764,0,,8, 
21,23866,96,0.005,23866,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子8 筒子9
22,22492,80,0.005,22492,0,赤ドラ1 混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 筒子9 西風 西風
23,16802,74,0.005,16802,0,混一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子7 筒子8 筒子9 北風 北風
24,18859,67,0.005,18859,0,混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9 白ちゃん 白ちゃん
25,3430,126,0.005,3430,0,,4, 
26,8392,126,0.005,8392,0,,4, 
27,3486,126,0.005,3486,0,,4, 
28,27161,103,0.005,27161,0,清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子7 筒子7 筒子7 筒子8 筒子9
29,23176,80,0.005,23176,0,混一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9 東風 東風
30,6642,126,0.005,6642,0,,4, 
31,25756,68,0.005,25756,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9 筒子9
32,2888,126,0.005,2888,0,,4, 
