Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
4121,13915,83,0.020,13915,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4122,37664,108,0.020,37664,0,七対子,16, 萬子1 萬子1 萬子6 萬子6 筒子5 筒子5 索子4 索子4 索子6 索子6 索子7 索子7 北風 北風
4123,21942,104,0.020,21942,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風 東風 東風 白ちゃん 白ちゃん
4124,6176,126,0.020,6176,0,,0, 
4125,15628,92,0.020,15628,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子6 索子6 北風 北風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4126,13126,126,0.020,13126,0,,0, 
4127,14268,73,0.020,14268,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風 南風 南風
4128,12271,63,0.020,12271,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 筒子9 筒子9 索子6 索子6 索子7 索子7 北風 北風
4129,12296,126,0.020,12296,0,,0, 
4130,46220,120,0.020,46220,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子6 萬子6 筒子5赤ドラ 筒子5 筒子6 筒子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4131,35776,113,0.020,35776,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5赤ドラ 筒子5 索子2 索子2 北風 北風 白ちゃん 白ちゃん
4132,9868,78,0.020,9868,0,七対子,16, 萬子3 萬子3 萬子5 萬子5 萬子6 萬子6 筒子5 筒子5 北風 北風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4133,21040,37,0.020,21040,0,七対子 五門斉,16, 萬子3 萬子3 萬子4 萬子4 筒子3 筒子3 筒子5 筒子5 索子4 索子4 南風 南風 白ちゃん 白ちゃん
4134,11616,99,0.020,11616,0,七対子,16, 萬子3 萬子3 萬子7 萬子7 筒子5 筒子5 索子4 索子4 索子6 索子6 索子7 索子7 白ちゃん 白ちゃん
4135,23838,78,0.020,23838,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 筒子5赤ドラ 筒子5 索子7 索子7 索子9 索子9 白ちゃん 白ちゃん
4136,1926,126,0.020,1926,0,,0, 
4137,37378,106,0.020,37378,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子7 索子7 北風 北風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4138,14141,49,0.020,14141,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子1 筒子1 筒子5赤ドラ 筒子5 索子4 索子4 索子6 索子6 北風 北風
4139,4066,126,0.020,4066,0,,0, 
4140,3316,126,0.020,3316,0,,0, 
4141,19120,70,0.020,19120,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子5 索子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4142,18988,97,0.020,18988,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4143,23375,89,0.020,23375,0,七対子 五門斉,16, 萬子1 萬子1 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4144,12190,55,0.020,12190,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5赤ドラ 筒子8 筒子8 索子6 索子6 索子7 索子7 北風 北風
4145,23485,105,0.020,23485,0,七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子4 索子4 索子9 索子9 北風 北風 白ちゃん 白ちゃん
4146,20475,87,0.020,20475,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子1 筒子1 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風
4147,18738,64,0.020,18738,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 萬子8 萬子8 筒子5赤ドラ 筒子5 索子4 索子4 北風 北風 發ちゃん 發ちゃん
4148,23908,73,0.020,23908,0,七対子 五門斉,16, 萬子4 萬子4 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん 白ちゃん 白ちゃん
4149,44811,121,0.020,44811,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 筒子5 筒子5赤ドラ 筒子5 筒子5 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4150,19524,96,0.020,19524,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 萬子5赤ドラ 萬子5 筒子5 筒子5 索子7 索子7 白ちゃん 白ちゃん
4151,22226,99,0.020,22226,0,赤ドラ1 七対子 五門斉,16, 萬子6 萬子6 筒子5 筒子5赤ドラ 索子4 索子4 索子7 索子7 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4152,6756,126,0.020,6756,0,,0, 
4153,18008,56,0.020,18008,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子7 索子7 索子9 索子9 白ちゃん 白ちゃん
4154,6216,126,0.020,6216,0,,0, 
4155,11670,84,0.020,11670,0,七対子,16, 萬子1 萬子1 筒子5 筒子5 索子4 索子4 索子5 索子5 索子6 索子6 索子7 索子7 北風 北風
4156,28128,92,0.020,28128,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子8 筒子8 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4157,11112,104,0.020,11112,0,赤ドラ2 七対子,16, 筒子5 筒子5 筒子5 筒子5赤ドラ 索子4 索子4 索子5 索子5赤ドラ 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4158,16576,126,0.020,16576,0,,0, 
4159,32130,115,0.020,32130,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 筒子8 筒子8 北風 北風 中ちゃん 發ちゃん 中ちゃん 發ちゃん
4160,1596,126,0.020,1596,0,,0, 
4161,16266,126,0.020,16266,0,,0, 
